full_text,translated_text
@adamantfriend @patragumala gado-gado emang disajikan kaga panas/anget yatapi masa dingin si.. Dingin cuma buat makanan manis,"gado-gado is served not hot/warm, but when it's cold... cold is just for sweet food"
@representatif Suka: semua olahan telur dan ayam hampir semua jenis roti makanan manis &gt;&gt;&gt; asin. Ngga suka: pare rebung jeroan.,"likes: all egg and chicken dishes, almost all types of bread, sweet foods &gt;&gt;&gt; salty. dislikes: bitter melon, bamboo shoots, offal."
@FOODFESS2 Kulkasin dulu aja. Tp pas kasih blg kalo snack nya udh patah krn ketumpuk brg2. Cm aku kdg sebel sih sm org yg mau dikasih oleh2 tp malah jwb macem2 kek gasuka makanan manis lah gasuka makanan yg coklat2an lah. Klo yg dikasih bnyk mau ya mndg makan sndri aja nder,"just put it in the fridge first. but when i gave it to him, he said that the snack was broken because it was piled up with other things. but sometimes i get annoyed with people who want to give me souvenirs but instead give me all sorts of answers like they don't like sweet food or don't like chocolatey food. if i'm given a lot of things i'd rather just eat it myself."
@convomfs Walaupun udah obat life style harus diperbaiki. Olahraga minim 20 menit 3x per hari kurangi makanan yg manis (diganti stevia) atau kolesterol. Diabetes itu sumber dai penyakit lain ex gangguab ginjal stroke peny jantung dll,"even though you are on medication, your lifestyle must be improved. exercise at least 20 minutes 3 times a day, reduce sweet foods (replaced with stevia) or cholesterol. diabetes is the source of other diseases, such as kidney disorders, stroke, heart disease, etc."
Setidaknya di rumah/kos sempetin punya bumbu mejik ini bang - saos tiram - kecap asin - kecap manis - minyak wijen - lada bubuk - saos bangkok - sambel terasi sachet Dijamin makanan lu jadi variatif rasanya. Minimal kalo pas masak sndiri rasa makanan lu autentik,"at least at home/boarding house, have this magical seasoning, bro - oyster sauce - soy sauce - sweet soy sauce - sesame oil - pepper powder - bangkok sauce - sachet of shrimp paste chili sauce. guaranteed, your food will have a variety of flavors. at least when you cook it yourself, the taste of your food will be authentic."
adulting is klo stress yg dimakan sayur bukan makanan manis,"adulting is when you are stressed you eat vegetables, not sweet foods"
Persiapan nonton OngsaSun flirting Sun jealous almost kissing dan yang manis-manis Ini emang gak sehat banget makanan tapi khusus malam ini aja deh ya ONGSASUN BEGIN AGAIN #23point5EP7 https://t.co/VE2eHjKHmm,preparation for watching ongsasun flirting sun jealous almost kissing and sweet things this food is really unhealthy but only for tonight ongsasun begin again #23point5ep7
@FromThisIsland Cara aku untuk Green Detox adalah banyak minum air putih konsumsi buah dan sayur setiap hari dan mengurangi makanan manis serta goreng-gorengan. Kadang-kadang aku juga buat infused water. Sekarang lagi mengusahakan untuk tidak malas berolahraga #GreenDetoxForSkin,"my way to green detox is to drink lots of water, consume fruits and vegetables every day and reduce sweet and fried foods. sometimes i also make infused water. now i'm trying not to be lazy to exercise #greendetoxforskin"
Ternyata gue bisa loh nongkrong tanpa minum manis dan tetap kontrol makanan selama ini apa ya yg jdi penghalang? Hohohhoho,it turns out i can hang out without drinking sweet drinks and still control my food. what's been the obstacle? hohohhoho
Terlalu banyak makan makanan manis punya dampak buruk bagi kesehatan. Ini menjadi lingkaran setan karena saat stres muncul keinginan makan manis. https://t.co/nUPt4cjpFT,"eating too much sweet food has a bad impact on health. it becomes a vicious cycle because when stressed, the desire to eat sweets arises."
Laper bingung mau makanan manis atauu asin yaaaa,"hungry, confused about whether to eat sweet or salty food?"
@_haykalhanif Makanan rakyat banyak yg berminyak dari nasi goreng pecel lele soto garang asam bakso sampai sop pun ada minyaknya juga dikit ataupun banyak. Minyak sering susah dibasuh dg minum air putih saja seringkali memang memancing minum minuman manis.,"many people's foods are oily, from fried rice, pecel lele, soto garang asam, bakso, to soup, there is oil, either a little or a lot. oil is often difficult to wash down by drinking water alone, often tempting to drink sweet drinks."
@denialducks Buatku yang gak terlalu suka makanan manis enak tapi gak tau sih yang lain,"for me who doesn't really like sweet food, it's delicious but i don't know about others."
Selain makanan manis penasaran juga sensei hobi banget bikin siblings trope. I mean buat manga yang 162 chapter kelar kayaknya semua dynamic ada: Crown family: siscon Ames: misunderstanding terus baikan Madl: Estranged until the end Rosequartz: dramatic/ physical abuse,"besides sweet food, sensei is also curious about making siblings tropes. i mean for a manga that has finished 162 chapters, it seems like all the dynamics are there: crown family: siscon ames: misunderstanding then making up madl: estranged until the end rosequartz: dramatic/ physical abuse"
@no143WONYOUNG WONY MAAF abang gajadi nanya aneh aneh. Pilih makanan manis apa asin?,"wony sorry bro, i accidentally asked strange questions. do you prefer sweet or salty food?"
@blusterTERAZONO Manis tapi harus tetep balance biar gak muak. Abang makanan asin suka apa?,sweet but you have to keep a balance so you don't get sick. what kind of salty food do you like?
antara lumpia khas Tionghoa dan Jawa. Bahan makanan yang dinilai haram dalam ajaran Islam seperti daging babi dan minyak babi pun diganti dengan daging ayam dan udang. Bumbu pun ikut berubah yang semula dengan citarasa asin dari Tjoa sementara lumpia manis.... #PuspitaNagari https://t.co/3ma7q9qoBn,"between chinese and javanese spring rolls. food ingredients that are considered forbidden in islamic teachings such as pork and lard are replaced with chicken and shrimp. the seasonings also change, originally with a salty taste from tjoa while the spring rolls are sweet.... #puspitanagari"
terlepas dari diabetes atau penyakit lainnya. video makanan dengan toping manis berlebihan bagi gua menjijikan,regardless of diabetes or other diseases. food videos with excessive sweet toppings are disgusting to me
@combipharID Saya kurangi makanan junkfood Saya mengurangi makan yang terlalu manis asin pedas dan asam. Tidak begadang/istirahat cukup Makan makanan yang bergizi kaya serat dan nutrisi Olahraga minimal 30 menit /hari dan Kurangi Stres.,"i reduce junk food i reduce eating too much sweet, salty, spicy and sour food. don't stay up late/get enough rest eat nutritious food rich in fiber and nutrients exercise at least 30 minutes / day and reduce stress."
@ikramarki Makanan jateng aja kagak ada yang enak manis semua cuih,central java food is not good sweet all cuih
@ikramarki Omongan orang jakarta soal makanan ga melulu harus divalidasi. Wong orang sini juga banyak macam-macam jenis dan suku .preference makanannya aja beda beda. Ada yang suka seblak ada yang benci seblak. Ada yang suka gudeg ada juga yang bilang manis banget kek makanan bayi,"jakartans' talk about food doesn't always have to be validated. people here also come from many different types and tribes. their food preferences are different. some like seblak, some hate seblak. some like gudeg, some say it's really sweet like baby food."
MALES2AN PALELUUUUU. Gua beli banyak skincare ke dokter spkk offline online treatment semua ikutin ngurangin makanan manis. kl emg teknik marketing sumpah najis bgt.,"i'm so lazy. i bought a lot of skincare from an offline and online doctor and treated all of them by reducing my intake of sweet foods. if it's a marketing technique, i swear it's really dirty."
unpopular opinion (or maybe not) di jakarta kurang makanan jawa timur identiknya jawa tengah mungkin krn lebih deket ya dari bumbu pecel sate ayam dan makanan jawa disini cenderung manis dan itu memang khas jawa tengah. surabaya person like me missed mam jawa timuran so bad,"unpopular opinion (or maybe not) in jakarta there is a lack of east javanese food, it is identical to central java, maybe because it is closer to the pecel chicken satay seasoning and javanese food here tends to be sweet and that is indeed typical of central java. surabaya person like me missed mam east java so bad"
https://t.co/YgiTeKheU2 Makanan Jawa tengah Botok! Makanan manis pakai kecap gula Jawa dan sedikit rempah alias bumbu dapur saja! Spices tidak dan tidak pedas! Gak bisa pedas! Makanannya nasi kuah bening soto dan sedikit lauk karena miskin!,central javanese food botok! sweet food using javanese sugar soy sauce and a little spice or kitchen spices only! no spices and not spicy! can't be spicy! the food is clear rice soup soto and a little side dish because it's poor!
Maaf..makanan manis pelarian ku kalo lagi sedih,sorry..sweet food is my escape when i'm sad
sesederhana cilok batagor siomay bubur ayam seblak krecek dimsum (plus chili oil+mayo) mie gorengan. mana kalo makan aku suka banget pake kerupuk minum es teh manis. ditambah aku suka makanan yang digoreng dan terbuat dari tepung2an,"as simple as cilok batagor siomay chicken porridge seblak krecek dimsum (plus chili oil+mayo) fried noodles. when i eat, i really like crackers and drink sweet iced tea. plus i like food that is fried and made from flour"
aku btuh makanan berkuah yg gurih gitu aku eneg makan manis mulu,"i need savory soupy food, i'm sick of eating sweet food all the time"
@FEARNOT_ID Yunjin aku tidak suka makanan yang terlalu manis. Tapi demi kamu aku akan makan dengan lahap CRAZY CONCEPT PHOTO 2 #LE_SSERAFIM_CRAZY #HUHYUNJIN #허윤진 #LE_SSERAFIM #르세라핌,yunjin i don't like food that is too sweet. but for you i will eat heartily crazy concept photo 2 #le_sserafim_crazy #huhyunjin #허윤진 #le_sserafim #르세라핌
Gua dulu juga demen makan pancong tengah malem tapi pasti beli mateng karena 1) gua yg bukan sweet tooth gitu jadi kadang suka enek kalo makan makanan manis gitu 2) ya makannye dah tengah malem jadi biar ga keki ae tengah malem tetiba beraque gitu,"i used to hate eating pancong in the middle of the night, but i had to buy mateng because 1) i don't have a sweet tooth, so sometimes i like it when i eat sweet food like that."
@noliaha dan tanamin di kepala makanan / minuman manis itu mahal... ini works ia di aku jadi gaj suka beli boba lagi,and plant in your head that sweet food/drinks are expensive... this works for me so i don't like buying boba anymore
@Arkvra Maaf ga ngaruh kalo air doang mintanya creamy treat (makanan manis kalo bentukan mereka manusia),"sorry, it doesn't work if you only ask for water, but ask for a creamy treat (a sweet food if they are shaped like humans)"
siapa yang kalo mau red day selalu makan makanan manis kaya orang gila? saya bang,"who always eats sweet food like crazy when it's red day? me, bro."
Siapa yang hobi konsumsi makanan atau minuman manis? ayo ngaku‍️ Emang betul ya kalau sesuatu yg berlebihan itu gak baik. Sama kaya konsumsi gula ya kalo berlebihan bisa bikin sakit Sebenernya berapa sih batasan konsumsi gula dalam sehari? Simak di video berikut yuk ⬇️ https://t.co/TZTOKy4N71,"who likes to consume sweet foods or drinks? come on, admit it‍️ it's true that too much of something is not good. just like consuming sugar, if it's excessive, it can make you sick. actually, what is the limit of sugar consumption in a day? watch the following video ⬇️"
kayaknya aku beneran ga bisa kecapean/ ada di tempat yg terlalu rame deh sekarang.. beneran keleyengan apa karena ga mengkonsumsi makanan manis sehari ini jadi gini? apa gara-gara darah tinggi?,i really don't think i can get tired/be in a place that's too crowded now.. am i really tired or is it because i haven't eaten sweet food all day that i'm like this? is it because of high blood pressure?
sekarang dah buat hampir 2 minggu craving nak makan makanan manis tu dah tak teruk sangat mcm dulu..,"now it's been almost 2 weeks now, the craving to eat sweet food is not as bad as it used to be.."
@convomf Cheesecake klo mau yg manis sm shihlinnn klo makanan berat ayam penyet #KawalPutusanMK,"cheesecake if you want something sweet like shihlinnn if you want a heavy meal, smashed chicken #kawalputusanmk"
@convomf makanan manis KEMBALIKAN TEMAN TEMAN KAMI! LAWAN! JANGAN LENGAH! BATALKAN BUKAN TUNDA! PANJANG UMUR PERJUANGAN! HIDUP RAKYAT INDONESIA! #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy,sweet food bring back our friends! fight! don't be careless! cancel not delay! long live the struggle! long live the indonesian people! #monitormkdecision #rejecttrickyregionalelections #rejectdynastypolitics #emergencywarning #indonesiaemergencydemocracy
@AZRILROZALI saya dah biasa tak minum manis tapi tak tahu macam mana ya nak kurangkan gula dalam makanan sebab saya hanyalah seorang student yg tengah cuti sem sambil membuat part time jadi memang mampu makan apa yg mak masak di rumah je,i'm used to not drinking sweets but i don't know how to reduce the sugar in my food because i'm just a student who is on semester break while working part-time so i can only eat what my mother cooks at home
@AkeemSharyzal Jangan sakit and jaga kesihatan tu ja. Mana2 yg jual makanan hyper kencing manis dan obesiti tu pakat2 la boikot,don't get sick and take care of your health. any one who sells hyper diabetes and obesity food is boycotted
@tjerealjoker Bukan setakat boikot PAS sy boikot semua makanan pedas berminyak manis gila. Perut tak tahan nnt kena hantar PDF umum dekat bos sy tercirit².,"it's not just boycotting pas, i'm boycotting all spicy, greasy, sweet, crazy food. my stomach can't stand having to send a public pdf to my boss."
seminggu kenyang ini bukan soal makanan alias arhan zize manis nya kelewatana ajg gue takut diabetes,"this week of being full is not about food, aka arhan zize's sweetness is too much, i'm afraid of diabetes"
semenjak hamil gw jadi suka makanan sama minuman yang manis :( susu kacang dlu gw pernah beli ga pake gula masih ketelen sekarang wajib bangettt manis sama dingin -_- es sirup bango dlu paling ga pernah gw beli sekarang bisa minum tiap malem dirumah inah,"since i got pregnant, i've started to like sweet foods and drinks :( i used to buy peanut milk without sugar and still swallowed it, but now it's a must, sweet and cold -_- i never bought bango syrup ice before, but now i can drink it every night at inah's house"
PENGECUALIAN untuk makanan manis MEMANG HARUS DIMAHALKAN. BIAR GA GAMPANG DIBELI TERUTAMA SAMA ORANG2 KELAS BAWAH org2 kita jgn sampe dimudahkan aksesnya ke jajanan super manis ga sehat. bikin males bikin cepet mati. apalagi klo org miskin.. ga bisa berobat mreka,exceptions for sweet foods must be made expensive. so that they are not easy to buy especially by lower class people. our people should not be given easy access to super sweet unhealthy snacks. makes them lazy and makes them die quickly. especially for poor people.. they cannot get medical treatment.
Knapaa yak aku benci banget minum air putih akk takutt kyaknya makanan manis juga nambah BB ga sii? Mana aku gapernah olahraga,why do i hate drinking water so much? i'm afraid that sweet foods will also make me gain weight? and i never exercise.
Beli martabak biar bisa makan makanan yg gurih eh malah manis. Kenapa si harus ada manisnya padahal ini martabak which is identik dengan pedas asin gurih. Benci banget gua. https://t.co/cYaDlhlWHn,"buy martabak so you can eat savory food, but it's sweet instead. why does it have to be sweet when this is martabak which is identical to spicy, salty, savory. i really hate it."
gue benerna ENEK bgt minum/makanan artificial. contohnya kaya fanta cocacola milkshake bubuk. thank god i am less prone to diabetes i guess (gue makan bubur sumsum aja enek sama manis susu kental nya),i'm really old enough to drink/artificial food. for example kaya fanta cocacola milkshake powder. thank god i am less prone to diabetes i guess (i only eat my grandmother's marrow porridge as sweet as condensed milk)
1. Gasuka buah melon (gatau benci banget ) 2. Suka makanan asin dan manis 3. Gasuka kulit ayam‼️ 4. Gasuka saos sambel (REAL GASUKA) 5. Gabisa makan terong,1. i don't like melons (i don't know if i really hate them) 2. i like salty and sweet foods 3. i don't like chicken skin‼️ 4. i don't like chili sauce (real i like it) 5. i can't eat eggplant
1. bukan picky eater cuma gasuka beberapa makanan aja 2. sodium #1 fan 3. tida terlalu suka manis 4. prefer mi ayam style yamien daripada style jawa 5. paling benci paling gasuka sama yang nyisain makanan. mentolo ngaploki^_____^,"1. not a picky eater, just don't like certain foods 2. sodium #1 fan 3. don't really like sweets 4. prefer yamien style chicken noodles to javanese style 5. hate those who leave food behind the most. mentolo ngaploki^_____^"
Org2 yg doyan bgt nyampurin makanan asin sama manis tuh knp y? Y tau itu selera tpi gw liatnya jijik BJIR kok bisa,"why do people really like mixing salty and sweet foods? i know it's a matter of taste, but i find it disgusting. bjir, how is that possible?"
Ya Tuhan aku cuma mau re-cos kabu ... plis jangan ambyarkan moodku lagi aku capek bawa motor setengah jam cuma buat beli stok makanan manis,"oh my god, i just want to go back to bed... please don't ruin my mood again. i'm tired from riding my motorbike for half an hour just to buy some sweet food supplies."
Di sisi lain gula pada sufor juga bisa bikin anak kecanduan gula. Ini ada hubungannya sama Gerakan Tutup Mulut atau GTM anak-anak gak akan mau konsumsi makanan bergizi kecuali manis.,"on the other hand, sugar in formula milk can also make children addicted to sugar. this is related to the closed mouth movement or gtm, children will not want to consume nutritious food unless it is sweet."
6) Sensodyne Deep Clean - Membina perlindungan dan meningkatkannya terhadap sensitiviti gigi yang menyakitkan cth. minuman sejuk makanan panas makanan manis atau memberus gigi. Beli di sini https://t.co/GA1M89otPo https://t.co/vnZ3zX6Jsb,6) sensodyne deep clean - builds protection and increases it against painful tooth sensitivity e.g. cold drinks hot food sweet food or brushing teeth. buy here
Makan siang aku adalah nasi merah rebus-rebusan cut semua gorengan tumis kalau bisa pakai air aja boleh pepes atau panggang. Karena aku ga suka ngemil dan makan manis. Jadinya lebih gampang. Tersulit adalah cut semua makanan olahan fokus ke real food. Mie ayam cry ga bisa,"my lunch is boiled brown rice, cut all fried foods, stir-fry if possible, just use water, steamed or grilled. because i don't like to snack and eat sweets. so it's easier. the hardest is cutting all processed foods, focusing on real food. cry chicken noodles are a no-go"
sebenernya pengen krispy kreme sih... tapi lagi mengurangi makanan manis t___t,i actually want krispy kreme... but i'm cutting down on sweet foods t___t
MAKANAN RINGAN DAN MANIS.,snacks and sweets.
Sugar in your obat jiwa psikotropika menjadi gendut Kita harus diet gula untuk melambatkan penuaan Sugar jadi makanan sehari - hari melalui karbohidrat nasi dan makanan manis yang semuanya mengandung gula termasuk minuman teh!,"sugar in your psychotropic drugs makes you fat we have to diet on sugar to slow down aging sugar becomes our daily food through carbohydrates, rice and sweet foods which all contain sugar including tea drinks!"
seminggu sekali tu pun seteguk je? buat rasa2.. dah takde rasa nak minum manis Alhamdulillah. the craving is goneee.. craving makanan yg tak sihat je ni tak hilang2,"even a sip once a week? give it a taste.. i don't feel like drinking sweets, alhamdulillah. the craving is goneee.. the craving for unhealthy food just doesn't go away"
oh ya gua kalo udah mulai sakit gua perbanyak minun air putih sm makanan manis gk tau sih gmn cuma makanan yg bisa gua terima pas sakit demam flu kyk gini makanan manis,"oh yeah, when i start to get sick, i drink lots of water and sweet foods. i don't know how it is, the only food i can tolerate when i have a fever and flu like this is sweet food."
minum air je tak makan ke? makanan pun ada carb jugak. kalau dah makan pun masih nak air manis maybe sebab habit kot,"just drink water and not eat? food also has carbs. if you've eaten, you still want sweet water, maybe it's because of your habit"
@Haneyy__ Da 3 tahun tak minum manis.sekarang kalau terminum auto keluar balik rasa lain macam kat lidah. Pengambilan gula ambil drpd makanan je.,"i haven't had sweets in 3 years. now when i drink it, it comes back out with a different taste on my tongue. take sugar from food only."
hal terandom tadi malem 1. baru aja tidur tb tb rame bapak aing mo pukul ular kirain ular bahaya ternyata ular sawah nyasar ke rumah TAPI TETEP TAKUT GA SI 2. mimpi bikin seblak &amp; mukbang bareng keluarga MANA RASANYA MANIS BZIRRR dann baru ini mimpi bisa ngerasain makanan,"the most random thing last night 1. just went to bed tb tb my father was busy wanting to hit a snake, thought it was a dangerous snake, turned out it was a rice field snake that had strayed into the house but i'm still afraid ga si 2. dreamed of making seblak & mukbang with my family where it tasted so sweet bzirrr and this is the first time i've dreamed of being able to taste food"
@Dvikar @txtdrpemerintah Satu sisi konsumsi makanan &amp; minuman manis di indonesia udah parah banget sih,"on the one hand, consumption of sweet foods and drinks in indonesia is really bad."
@nalalanasii kann gajelas tu makanan maunya apa panas apa dingin manis apa asin...‍,"it's not clear whether the food is hot or cold, sweet or salty..."
- Gak suka creamy food apalagi yang resep diy ramen pake susu itu a big no - susu putih/vanilla GA ENAK (ini drink si) - benci w ke kacang sebagai topping makanan manis sama kayak benci w ke nanas sebagai topping pizza,"- i don't like creamy food, especially diy ramen recipes that use milk, that's a big no - white/vanilla milk is not good (this is a drink) - i hate nuts as a topping for sweet food just like i hate pineapple as a topping for pizza"
Namun sayangnya masih ada saja orang tua yang salah dalam memberikan asupan makanan dan minuman pada anaknya seperti memberikan kental manis sebagai pengganti ASI. #AwasDiabetes #AwasResikoKentalManis,but unfortunately there are still parents who are wrong in providing food and drink intake to their children such as giving condensed milk as a substitute for breast milk. #bewarediabetes #bewarerisksofcondensed milk
Buah nenas ni makanan yang dari aku kecik memang aku benci tak suka dan takkan makan. Until aku cuba nenas manis. Gian gila rasa dia manis masam yang sedap gila. Aku tak boleh stop makan dan tak boleh lupa feel enjoy dan puas makan tu.,"pineapple is a food that since i was little, i hate it, i don't like it and i won't eat it. until i tried sweet pineapple. gian is crazy about his sweet and sour flavor that is insanely delicious. i can't stop eating and i can't forget to feel happy and satisfied eating it."
Sudahkah kita menyadari bahaya memberikan kopi susu dan kental manis pada anak? Seperti yang kita lihat pada video viral baru-baru ini kandungan nutrisi pada makanan yang diberikan pada anak harus menjadi perhatian kita. #AwasDiabetes #AwasResikoKentalManis,"have we realized the dangers of giving coffee, milk and condensed milk to children? as we saw in the recent viral video, the nutritional content of food given to children should be our concern. #bewarediabetes #bewarerisksofcondensedsweet"
Video ibu memberikan kopi susu dan kental manis pada anak memang viral namun kita harus belajar dari kesalahan tersebut. Sebagai orangtua kita harus memperhatikan kandungan nutrisi pada makanan yang diberikan pada anak. #AwasDiabetes #AwasResikoKentalManis,"the video of a mother giving her child coffee, milk and condensed milk has gone viral, but we must learn from this mistake. as parents, we must pay attention to the nutritional content of the food we give to our children. #bewareofdiabetes #bewareoftheriskofcondensedmilk"
Memberikan kopi susu dan kental manis pada anak tidak hanya dapat memicu risiko diabetes tetapi juga dapat membuat anak menjadi kecanduan gula. Oleh karena itu pilihlah makanan yang lebih sehat untuk anak. #AwasDiabetes #AwasResikoKentalManis,"giving coffee, milk and condensed milk to children can not only trigger the risk of diabetes but can also make children addicted to sugar. therefore, choose healthier foods for children. #bewarediabetes #bewarerisksofcondensedsweet"
Kemaren itu gue lagi pantengin berita viral ramai soal ibu beri kopi susu kental manis dan makanan tidak sesuai lainnya di sosmed sama anak-anak. Kan itu tidak baik untuk pemenuhan gizi dan tumbuh kembang anak. #AwasDiabetes #AwasResikoKentalManis,yesterday i was watching the viral news about mothers giving their children condensed milk and other inappropriate foods on social media. that's not good for children's nutritional needs and growth. #bewareofdiabetes #bewareoftherisksofcondensedsweet
Beberapa tahun ini @BPOM_RI telah memberikan aturan pada label dan @KemenkesRI juga telah menghimbau masyarakat tentang kental manis itu hanya bisa digunakan untuk toping makanan dan sejenisnya. #AwasDiabetes #AwasResikoKentalManis,"in recent years, it has given rules on labels and has also appealed to the public that condensed milk can only be used for food toppings and the like. #bewarediabetes #bewarerisksofcondensedmelting"
@FOODFESS2 Dessert kan makanan manis nder tahu isi jd dessert th gmn ceritanya,"dessert is a sweet food, but you don't know what's inside, so what's the story behind it?"
BPOM juga sudah menetapkan bahwa kental manis hanya boleh dijadikan untuk topping makanan atau minuman saja. #AwasDiabetes #AwasResikoKentalManis,bpom has also stipulated that condensed milk may only be used as a topping for food or drinks. #bewarediabetes #bewarerisksofcondensed milk
Salah satu dampak buruk memberikan kental manis pada anak adalah meningkatkan risiko diabetes. Oleh karena itu sebagai orangtua kita harus lebih selektif dalam memilih makanan untuk anak. #AwasDiabetes #AwasResikoKentalManis,"one of the bad effects of giving condensed milk to children is increasing the risk of diabetes. therefore, as parents we must be more selective in choosing food for children. #bewarediabetes #bewarerisksofcondensedmilk"
@convomfs Karena pada dasarnya biskuit balita Kemenkes tidak manis rendah gula gatau tanpa gula. Nah AKU SUKA makanan yang ga manis.,"because basically kemenkes toddler biscuits are not sweet, low in sugar or without sugar. well, i like food that is not sweet."
@ohmybeautybank Sebisanya dihindari tp pantangan org beda sih kek ada yg blg jangan makan ayam ras aku coba setaun ga makan eh sama aja wkwkw tapi aku coba diet susu sama makanan manis malah ngaruh sih jerawat jd jarang muncul,"i try to avoid it as much as possible, but everyone's taboos are different, like some people say don't eat broiler chicken. i tried not eating it for a year, but it was the same, haha. but i tried a diet of milk and sweet foods, but it actually had an effect, acne rarely appeared."
@Tzulastri Emak gw pertama kali pindah dri surabaya ke sini shock mlu klo sm makanan mknnya males jajan..palagi soto mangkoknya kek ksh makan bayi manis lgi...porsi disini jg dikit beda sm jatim,"when my mother first moved here from surabaya, she was shocked because of the food, she was too lazy to buy snacks... especially the soto bowls, it's like she's feeding a sweet baby... the portions here are also a little different from those in east java."
@ascilantey SEDIH BGT BACANYA JADI OENGEN PELUK :((( mMmm kurangi ngelakuin hal yg buruk buat diri sendiri yah kak ayo kita jajan makanan manis trs makan sampe eneg aja !!!! (itu jg buruk sih) (knp jd galau gini ya topiknya ) https://t.co/NwE0a3HYOD,"it's so sad to read that it makes you huge :(((mmmm, stop doing bad things to yourself, brother, let's eat sweet food until we're full !!!! (that's bad too) (why are you so upset about the topic)"
@revndezvouz Nih punya gue. Iya nanti gue beliin makanan manis. https://t.co/UkuWEsgJsS,here's mine. i'll buy you some sweets.
@ravensbrat Minimal ada gairahnya saatnya menyebut uproar. Mana rawrnya? Azka senang bisa bertemu denganmu juga. Oh tidak perlu terima kasih. Ia suka kakaknya bukan cheesecake. Kebetulan saya sedang mengurangi makanan manis. Jadi untukmu saja. Ditolaknya dengan halus,at least there is passion when it comes to calling uproar. where's the rawr? azka is happy to meet you too. oh no need to thank you. he likes his sister not cheesecake. i happen to be cutting down on sweet foods. so just for you. he politely declined
pelisssh kenaoa cewe ditakdirkan untuk suka makanan pedes AAAAAAAAAAA KECANDUAN BANHET MAKAN PEDES GRUIH PEDES MANIS ga ada puas puas nya,"pelisssh why are women destined to like spicy food aaaaaaaaaaa i'm so addicted to eating spicy, gross, spicy, sweet, never getting satisfyed"
Aku bisa ngurangin makanan manis TAPI ngurangin makan gorengan kenapa susah bener,i can reduce sweet foods but why is it so hard to reduce fried foods?
@MrOngDedy Makanan yg bikin merasa bersalah : Mie instant Babi panggang Martabak manis Soto betawi Gule,foods that make you feel guilty: instant noodles roast pork sweet martabak betawi soto gule
sesuka itu sama makanan manis tp takut diabetes,it's the same as sweet food but i'm afraid of diabetes
entah kenapa 2023 gue suka banget makanan manis,"for some reason, in 2023, i really like sweet foods"
